sport,league,level,country,team
Hockey,NHL,Professional,USA/Canada,Anaheim Ducks
Hockey,NHL,Professional,USA/Canada,Arizona Coyotes
Hockey,NHL,Professional,USA/Canada,Boston Bruins
Hockey,NHL,Professional,USA/Canada,Buffalo Sabres
Hockey,NHL,Professional,USA/Canada,Calgary Flames
Hockey,NHL,Professional,USA/Canada,Carolina Hurricanes
Hockey,NHL,Professional,USA/Canada,Chicago Blackhawks
Hockey,NHL,Professional,USA/Canada,Colorado Avalanche
Hockey,NHL,Professional,USA/Canada,Columbus Blue Jackets
Hockey,NHL,Professional,USA/Canada,Dallas Stars
Hockey,NHL,Professional,USA/Canada,Detroit Red Wings
Hockey,NHL,Professional,USA/Canada,Edmonton Oilers
Hockey,NHL,Professional,USA/Canada,Florida Panthers
Hockey,NHL,Professional,USA/Canada,Los Angeles Kings
Hockey,NHL,Professional,USA/Canada,Minnesota Wild
Hockey,NHL,Professional,USA/Canada,Montreal Canadiens
Hockey,NHL,Professional,USA/Canada,Nashville Predators
Hockey,NHL,Professional,USA/Canada,New Jersey Devils
Hockey,NHL,Professional,USA/Canada,New York Islanders
Hockey,NHL,Professional,USA/Canada,New York Rangers
Hockey,NHL,Professional,USA/Canada,Ottawa Senators
Hockey,NHL,Professional,USA/Canada,Philadelphia Flyers
Hockey,NHL,Professional,USA/Canada,Pittsburgh Penguins
Hockey,NHL,Professional,USA/Canada,San Jose Sharks
Hockey,NHL,Professional,USA/Canada,Seattle Kraken
Hockey,NHL,Professional,USA/Canada,St. Louis Blues
Hockey,NHL,Professional,USA/Canada,Tampa Bay Lightning
Hockey,NHL,Professional,USA/Canada,Toronto Maple Leafs
Hockey,NHL,Professional,USA/Canada,Vancouver Canucks
Hockey,NHL,Professional,USA/Canada,Vegas Golden Knights
Hockey,NHL,Professional,USA/Canada,Washington Capitals
Hockey,NHL,Professional,USA/Canada,Winnipeg Jets
Basketball,NBA,Professional,USA/Canada,Atlanta Hawks
Basketball,NBA,Professional,USA/Canada,Boston Celtics
Basketball,NBA,Professional,USA/Canada,Brooklyn Nets
Basketball,NBA,Professional,USA/Canada,Charlotte Hornets
Basketball,NBA,Professional,USA/Canada,Chicago Bulls
Basketball,NBA,Professional,USA/Canada,Cleveland Cavaliers
